date,sealevelpressure
2013-01-31,1028.183870967742
2013-02-28,1026.6214285714286
2013-03-31,1018.3419354838709
2013-04-30,1013.75
2013-05-31,1008.4774193548387
2013-06-30,1005.3566666666667
2013-07-31,1001.1483870967742
2013-08-31,1004.3838709677419
2013-09-30,1014.5933333333334
2013-10-31,1021.7064516129033
2013-11-30,1022.6866666666666
2013-12-31,1025.9483870967742
2014-01-31,1026.0225806451613
2014-02-28,1028.482142857143
2014-03-31,1019.4903225806452
2014-04-30,1016.1066666666667
2014-05-31,1007.0612903225807
2014-06-30,1005.6533333333333
2014-07-31,1004.1161290322581
2014-08-31,1008.1516129032258
2014-09-30,1014.3233333333334
2014-10-31,1020.2677419354839
2014-11-30,1023.63
2014-12-31,1027.7032258064517
2015-01-31,1028.090322580645
2015-02-28,1024.55
2015-03-31,1020.9935483870968
2015-04-30,1014.9533333333333
2015-05-31,1007.483870967742
2015-06-30,1004.3533333333332
2015-07-31,1005.2387096774194
2015-08-31,1007.3741935483871
2015-09-30,1015.35
2015-10-31,1019.7677419354839
2015-11-30,1027.5733333333333
2015-12-31,1028.2483870967742
2016-01-31,1030.1709677419356
2016-02-29,1026.7551724137932
2016-03-31,1020.8290322580646
2016-04-30,1011.8666666666667
2016-05-31,1009.5677419354838
2016-06-30,1004.7366666666666
2016-07-31,1004.5774193548388
2016-08-31,1007.5064516129032
2016-09-30,1013.2533333333333
2016-10-31,1021.1612903225806
2016-11-30,1024.6699999999998
2016-12-31,1027.6129032258063
2017-01-31,1029.0483870967741
2017-02-28,1026.1571428571428
2017-03-31,1021.3419354838709
2017-04-30,1011.6433333333333
2017-05-31,1009.3451612903226
2017-06-30,1006.4833333333333
2017-07-31,1004.074193548387
2017-08-31,1006.4806451612903
2017-09-30,1011.7466666666667
2017-10-31,1023.8838709677419
2017-11-30,1024.6566666666668
2017-12-31,1028.1387096774192
2018-01-31,1028.1451612903227
2018-02-28,1025.0714285714287
2018-03-31,1019.7064516129033
2018-04-30,1014.2566666666667
2018-05-31,1009.1903225806452
2018-06-30,1003.7099999999999
2018-07-31,1004.6548387096774
2018-08-31,1007.2096774193549
2018-09-30,1014.0633333333334
2018-10-31,1021.0129032258066
2018-11-30,1024.77
2018-12-31,1031.7387096774194
