months,avg humidity
2018-01-31,30.3
2018-02-28,43.271428571428565
2018-03-31,45.55925925925926
2018-04-30,51.49565217391305
2018-05-31,50.2
2018-06-30,54.9962962962963
2018-07-31,71.715
2018-08-31,68.66521739130435
2018-09-30,61.5
2018-10-31,60.785714285714285
2018-11-30,54.184
2018-12-31,39.949999999999996
2019-01-31,19.580000000000002
2019-02-28,37.190909090909095
2019-03-31,35.60526315789474
2019-04-30,46.211999999999996
2019-05-31,40.228
2019-06-30,54.53793103448275
2019-07-31,64.86206896551724
2019-08-31,58.89473684210526
2019-09-30,63.61724137931035
2019-10-31,64.43846153846154
2019-11-30,61.07142857142857
2019-12-31,58.7
2020-01-31,45.239999999999995
2020-02-29,53.32857142857143
2020-03-31,44.34761904761905
2020-04-30,34.975
2020-05-31,56.9
2020-06-30,52.34444444444444
2020-07-31,65.07391304347826
2020-08-31,72.46190476190476
2020-09-30,64.15384615384616
2020-10-31,53.926923076923075
2020-11-30,53.59444444444444
2020-12-31,42.4
2021-01-31,
2021-02-28,47.125
2021-03-31,52.79
2021-04-30,42.1
2021-05-31,45.803703703703704
2021-06-30,51.90384615384615
2021-07-31,74.99333333333334
2021-08-31,70.38260869565217
2021-09-30,73.53333333333333
2021-10-31,60.7
2021-11-30,48.67
2021-12-31,48.3125
2022-01-31,55.2
2022-02-28,36.575
2022-03-31,47.228571428571435
2022-04-30,43.214285714285715
2022-05-31,46.330000000000005
2022-06-30,59.604166666666664
2022-07-31,68.39545454545454
2022-08-31,69.33636363636364
2022-09-30,62.86
2022-10-31,57.813793103448276
2022-11-30,58.612500000000004
2022-12-31,31.7
2023-01-31,39.4
2023-02-28,46.16875
2023-03-31,37.7
2023-04-30,42.95666666666667
2023-05-31,52.9
2023-06-30,45.38
2023-07-31,51.61
