months,avg windspeed
2018-01-31,28.0
2018-02-28,17.785714285714285
2018-03-31,15.762962962962964
2018-04-30,19.360869565217392
2018-05-31,19.237037037037037
2018-06-30,18.83703703703704
2018-07-31,14.95
2018-08-31,15.182608695652174
2018-09-30,18.263636363636365
2018-10-31,13.900000000000002
2018-11-30,14.636000000000001
2018-12-31,19.8
2019-01-31,20.22
2019-02-28,16.036363636363635
2019-03-31,19.91578947368421
2019-04-30,20.6
2019-05-31,21.576
2019-06-30,19.082758620689653
2019-07-31,17.417241379310347
2019-08-31,19.842105263157894
2019-09-30,14.341379310344829
2019-10-31,15.36923076923077
2019-11-30,13.914285714285715
2019-12-31,28.8
2020-01-31,20.160000000000004
2020-02-29,15.514285714285714
2020-03-31,18.857142857142858
2020-04-30,19.304166666666667
2020-05-31,18.872
2020-06-30,18.70740740740741
2020-07-31,15.91304347826087
2020-08-31,14.157142857142858
2020-09-30,17.396153846153847
2020-10-31,17.934615384615384
2020-11-30,15.011111111111111
2020-12-31,28.8
2021-01-31,
2021-02-28,10.84375
2021-03-31,12.78
2021-04-30,14.73448275862069
2021-05-31,15.833333333333334
2021-06-30,12.723076923076924
2021-07-31,9.466666666666667
2021-08-31,10.160869565217391
2021-09-30,9.233333333333333
2021-10-31,11.062962962962963
2021-11-30,15.544999999999998
2021-12-31,12.59375
2022-01-31,15.7
2022-02-28,12.075
2022-03-31,12.589285714285714
2022-04-30,13.332142857142857
2022-05-31,14.33
2022-06-30,11.4125
2022-07-31,9.909090909090908
2022-08-31,12.095454545454546
2022-09-30,10.28
2022-10-31,10.786206896551725
2022-11-30,11.091666666666667
2022-12-31,17.866666666666667
2023-01-31,17.271428571428572
2023-02-28,12.1625
2023-03-31,13.163333333333332
2023-04-30,16.366666666666667
2023-05-31,13.443333333333333
2023-06-30,14.51
2023-07-31,14.995
